id,cross_direction
BXD1,BxD
BXD100,BxD
BXD101,BxD
BXD102,BxD
BXD11,BxD
BXD111,BxD
BXD113,BxD
BXD12,BxD
BXD122,BxD
BXD123,BxD
BXD124,BxD
BXD125,BxD
BXD128,BxD
BXD13,BxD
BXD14,BxD
BXD141,BxD
BXD144,BxD
BXD147,BxD
BXD15,BxD
BXD150,BxD
BXD151,BxD
BXD154,BxD
BXD155,BxD
BXD156,BxD
BXD157,BxD
BXD16,BxD
BXD160,BxD
BXD161,BxD
BXD168,BxD
BXD169,BxD
BXD170,BxD
BXD171,BxD
BXD172,BxD
BXD175,BxD
BXD177,BxD
BXD178,BxD
BXD18,BxD
BXD180,BxD
BXD184,BxD
BXD186,BxD
BXD19,BxD
BXD190,BxD
BXD194,BxD
BXD196,BxD
BXD197,BxD 
BXD198,BxD
BXD2,BxD
BXD201,BxD
BXD202,BxD
BXD204,BxD
BXD205,BxD
BXD21,BxD
BXD210,BxD
BXD211,BxD
BXD214,BxD
BXD216,BxD
BXD218,BxD
BXD219,BxD
BXD22,BxD
BXD24,BxD
BXD27,BxD
BXD28,BxD
BXD31,BxD
BXD32,BxD
BXD33,BxD
BXD34,BxD
BXD36,BxD
BXD38,BxD
BXD39,BxD
BXD40,BxD
BXD42,BxD
BXD43,BxD
BXD44,BxD
BXD45,BxD
BXD48,BxD
BXD49,BxD
BXD5,BxD
BXD50,BxD
BXD51,BxD
BXD55,BxD
BXD56,BxD
BXD6,BxD
BXD60,BxD
BXD61,BxD
BXD62,BxD
BXD63,BxD
BXD64,BxD
BXD65,BxD
BXD66,BxD
BXD67,BxD
BXD69,BxD
BXD70,BxD
BXD71,BxD
BXD73,BxD
BXD74,BxD
BXD75,BxD
BXD77,BxD
BXD79,BxD
BXD8,BxD
BXD81,BxD
BXD83,BxD
BXD84,BxD
BXD85,BxD
BXD86,BxD
BXD9,BxD
BXD90,BxD
BXD95,BxD
BXD98,BxD
BXD99,BxD
